id,address,balance,updatedAt
0xf1464fabaffff79eea51be4e9c883c1bc5737ab2,0xf1464fabaffff79eea51be4e9c883c1bc5737ab2,465396023690819412212728468,1678124023
0xc590175e458b83680867afd273527ff58f74c02b,0xc590175e458b83680867afd273527ff58f74c02b,0,1678124023
0x978f696d5062ecd37f1c26fbba326e48c0c3c0bc,0x978f696d5062ecd37f1c26fbba326e48c0c3c0bc,1085823865908644749168,1678124023
0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582,1,1678124023
0xc1c7bb2252c494f6a34d7a0c78ac2337aaeb9f7a,0xc1c7bb2252c494f6a34d7a0c78ac2337aaeb9f7a,36060861366144259233284529,1678123929
0x8bdfeae9e8e075d3b24af5aae9b75f71c87e53c2,0x8bdfeae9e8e075d3b24af5aae9b75f71c87e53c2,761193014071602090000000,1678123929
0x9f0162cae2f74b6a01fd8142a56e8521960e6a98,0x9f0162cae2f74b6a01fd8142a56e8521960e6a98,5016066894770000000000,1678123125
0xc85945c6d5f85e9a0f4e22129a72d05f2da6f4f6,0xc85945c6d5f85e9a0f4e22129a72d05f2da6f4f6,2358605329740000000000,1678123115
0xf09320b3b34ea89cc80207e6a3e0ec7e23c2ae27,0xf09320b3b34ea89cc80207e6a3e0ec7e23c2ae27,12804004618420000000000,1678123101
0x1eb133a41b88340430014e9cbbc249aa81cc69b6,0x1eb133a41b88340430014e9cbbc249aa81cc69b6,10353727736800000000000,1678123089
0xa8d7d9a837aebc76970997b81f1fc4cef0d8d4ca,0xa8d7d9a837aebc76970997b81f1fc4cef0d8d4ca,12699676260870000000000,1678123077
0xa293268b3b392d6062a7fee7431821a991498a98,0xa293268b3b392d6062a7fee7431821a991498a98,10176107720050000000000,1678120888
0x036aa16e5f4c0deaf0fd643bb4463b983f70083e,0x036aa16e5f4c0deaf0fd643bb4463b983f70083e,3367710754390000000000,1678120083
0x0bee1c1c643570189a7b14ffc9f49ceb8ec195d3,0x0bee1c1c643570189a7b14ffc9f49ceb8ec195d3,0,1678119857
0xac52272983140c47e4aa3a2d7bb3c29eed4da4b3,0xac52272983140c47e4aa3a2d7bb3c29eed4da4b3,211900000000000000000,1678118747
0x85ece73f67c6751d2a72df63838e0065a554afdf,0x85ece73f67c6751d2a72df63838e0065a554afdf,12949236386081527777529714,1678118747
0x83109489963f0df4691bb7e94499d0b66c38261a,0x83109489963f0df4691bb7e94499d0b66c38261a,1629100000000000000000,1678118707
0x26d8a7f1053fcc42ca82e97a5f6934eacfc5eb91,0x26d8a7f1053fcc42ca82e97a5f6934eacfc5eb91,20687773589520000000000,1678111979
0xc4f284c2ffc2e62337dd6aca04f14df2c6c1d454,0xc4f284c2ffc2e62337dd6aca04f14df2c6c1d454,1039465772291591464029523928,1678111225
0x28b2420b5ac7fb866d5518faccbcb2d799a0d514,0x28b2420b5ac7fb866d5518faccbcb2d799a0d514,7176000000000000000000,1678111225
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0,1678111073
0x7cac4cbbb2272d41e370372496eca1c287c16830,0x7cac4cbbb2272d41e370372496eca1c287c16830,850000000000000000,1678108297
0xa68366534ecf7b6c1006e15fb56cbe6fa5baac55,0xa68366534ecf7b6c1006e15fb56cbe6fa5baac55,0,1678106860
0x520a62334dc8d815d8a20813caefa1f70516ea54,0x520a62334dc8d815d8a20813caefa1f70516ea54,150022659548807928115628,1678103075
0x2729252ece125e1d84f578877d4f8b8de468ed32,0x2729252ece125e1d84f578877d4f8b8de468ed32,0,1678103075
0x14544b67702708345ced6f739fbee7d28c59af30,0x14544b67702708345ced6f739fbee7d28c59af30,0,1678101699
0xefa413de95fd661346c6de01342b4779df2dd517,0xefa413de95fd661346c6de01342b4779df2dd517,0,1678101603
0x0000000000ccc3b6ccf20f086a1100f42d6fccc8,0x0000000000ccc3b6ccf20f086a1100f42d6fccc8,0,1678101597
0x39fdc07fe5553dba0383aec7b2e85f7db06a4751,0x39fdc07fe5553dba0383aec7b2e85f7db06a4751,0,1678100147
0xe74477a7962fd23599903c8667d31be297016cc4,0xe74477a7962fd23599903c8667d31be297016cc4,2360123929650000000000,1678099083
0x8081b0c9af2ba39269922b713e69004d05355044,0x8081b0c9af2ba39269922b713e69004d05355044,3489449939883517962699,1678098545
0x34118e297c3afc2aec008594621587fbf836a5f3,0x34118e297c3afc2aec008594621587fbf836a5f3,155218623516914570007275932,1678098545
0x32365e2e7528f92cf9705105ee7b9ff1f347c81c,0x32365e2e7528f92cf9705105ee7b9ff1f347c81c,26199000000000000000000,1678098491
0x7f60e8236ab0131feac4caa6c6cc2179216d165b,0x7f60e8236ab0131feac4caa6c6cc2179216d165b,432000000000000000000,1678098145
0xb529fa1fe8fd07f18d34cffad13735005f304d19,0xb529fa1fe8fd07f18d34cffad13735005f304d19,0,1678097561
0xfb0d4c5cd4db7cbcff25a8ce6f1b00d77b70713d,0xfb0d4c5cd4db7cbcff25a8ce6f1b00d77b70713d,0,1678097047
0x63fa6db8ae8d072237ae6e39ddb695b9ae47221b,0x63fa6db8ae8d072237ae6e39ddb695b9ae47221b,23188135806040675876294,1678095449
0xaf28e6db3c0488b9c51f44d967ddaf66ef14f164,0xaf28e6db3c0488b9c51f44d967ddaf66ef14f164,0,1678094525
0xe8163ae4a59d552c1c2b22b417545a7a7e74ff23,0xe8163ae4a59d552c1c2b22b417545a7a7e74ff23,21734455625680000000000,1678094517
0x8beda50d88d7356b6a0acd74b65f65930bd61310,0x8beda50d88d7356b6a0acd74b65f65930bd61310,2360038149960000000000,1678093619
0x44f4cad4412ada8be12f188d433bb2ebfcf944bf,0x44f4cad4412ada8be12f188d433bb2ebfcf944bf,905900000000000000000,1678093507
0xccbd243b53006df9d94b315158f25a84b2916d37,0xccbd243b53006df9d94b315158f25a84b2916d37,1694929134880000000000,1678090921
0xb1dd449d9e4d60f66c3b233b79254af2130e4e3d,0xb1dd449d9e4d60f66c3b233b79254af2130e4e3d,0,1678090689
0x946ef598032d63368e131e43ef57b805cf60d977,0x946ef598032d63368e131e43ef57b805cf60d977,0,1678088833
0x7f2eecc896c74b0839fd1dbd176d027f88e5093a,0x7f2eecc896c74b0839fd1dbd176d027f88e5093a,55216374061459003393,1678087901
0x95a49d90e467bded96b581a3b99bec5a19db1b6d,0x95a49d90e467bded96b581a3b99bec5a19db1b6d,2895746270980000000000,1678086713
0x294764f7d7d66b024b50b44e9f78653f0283bb20,0x294764f7d7d66b024b50b44e9f78653f0283bb20,1000363933525395023599,1678083084
0x0fa764e106d2f7860437ffd682e4488bec7259a4,0x0fa764e106d2f7860437ffd682e4488bec7259a4,10044837496462030144578,1678083084
0x1ef4d8d83e9962412bb7a8b50efd5fd04747cfd2,0x1ef4d8d83e9962412bb7a8b50efd5fd04747cfd2,6671086957360000000000,1678082972
0xfe3de3b49d1de7eb0cb28b57ac2abfdb3f1118dd,0xfe3de3b49d1de7eb0cb28b57ac2abfdb3f1118dd,0,1678082594
0x21d5ff70d9a7153afd138eed44d5f8d5eab2e9b1,0x21d5ff70d9a7153afd138eed44d5f8d5eab2e9b1,2198296929630000000000,1678080670
0x4c4bf0a83d82d210ce9d08390bbad2cc42167c5c,0x4c4bf0a83d82d210ce9d08390bbad2cc42167c5c,688892747393022552,1678076378
0x22b2445998ee3cb02dd875888014c63f9761a71d,0x22b2445998ee3cb02dd875888014c63f9761a71d,3773919298550000000000,1678075374
0x20e22323ec78e5c97a64bf31dbcfca5fb68a1e08,0x20e22323ec78e5c97a64bf31dbcfca5fb68a1e08,0,1678074804
0x40abd853815dfa01995baaa68a826ba505acb6cd,0x40abd853815dfa01995baaa68a826ba505acb6cd,0,1678074706
0xf48ab9e73c3d16ecbab63621829153122797eb86,0xf48ab9e73c3d16ecbab63621829153122797eb86,15179279201960000000000,1678073710
